ID,Species Name
65823,Acrossocheilus wuyiensis
57688,Acrossocheilus xamensis
62803,Acrossocheilus yalyensis
14481,Acrossocheilus yunnanensis
69490,Acroteriobatus andysabini
5509,Acroteriobatus annulatus
7968,Acroteriobatus blochii
5510,Acroteriobatus leucospilus
15661,Acroteriobatus ocellatus
68219,Acroteriobatus omanensis
25240,Acroteriobatus salalah
69491,Acroteriobatus stehmanni
57445,Acroteriobatus variegatus
57446,Acroteriobatus zanzibarensis
644,Aculeola nigra
57913,Acyrtops amplicirrus
3073,Acyrtops beryllinus
16662,Acyrtus artius
67983,Acyrtus lanthanum
62176,Acyrtus pauciradiatus
16677,Acyrtus rubiginosus
23885,Adelosebastes latens
68806,Adelotremus deloachi
67382,Adelotremus leptus
27834,Adontosternarchus balaenops
48021,Adontosternarchus clarkae
27831,Adontosternarchus devenanzii
67072,Adontosternarchus duartei
64497,Adontosternarchus nebulosus
48019,Adontosternarchus sachsi
6261,Adrianichthys kruyti
6262,Adrianichthys oophorus
6263,Adrianichthys poptae
62166,Adrianichthys roseni
27470,Adventor elongatus
69391,Aenigmachanna gollum
7986,Aeoliscus punctulatus
6503,Aeoliscus strigatus
46570,Aequidens chimantanus
13108,Aequidens diadema
51471,Aequidens epae
51469,Aequidens gerciliae
50071,Aequidens mauesanus
12273,Aequidens metae
51472,Aequidens michaeli
46581,Aequidens pallidus
47545,Aequidens paloemeuensis
26733,Aequidens patricki
46586,Aequidens plagiozonatus
46594,Aequidens potaroensis
52210,Aequidens rondoni
69064,Aequidens superomaculatum
12278,Aequidens tetramerus
57663,Aequidens tubicen
57661,Aequidens viridis
7850,Aesopia cornuta
12086,Aetapcus maculatus
6441,Aethaloperca rogaa
66721,Aetheliparis taurocanis
7037,Aethotaxis mitopteryx
8973,Aetobatus flagellum
69023,Aetobatus laticeps
1250,Aetobatus narinari
67276,Aetobatus narutobiei
12600,Aetobatus ocellatus
13200,Aetomylaeus asperrimus
5011,Aetomylaeus bovinus
67984,Aetomylaeus caeruleofasciatus
12594,Aetomylaeus maculatus
12597,Aetomylaeus milvus
10120,Aetomylaeus nichofii
12599,Aetomylaeus vespertilio
9916,Afronandus sheljuzhkoi
11077,Afronemacheilus abyssinicus
67127,Afronemacheilus kaffa
57010,Afurcagobius suppositus
52422,Afurcagobius tamarensis
13258,Agamyxis albomaculatus
12104,Agamyxis pectinifrons
47969,Ageneiosus inermis
53701,Ageneiosus magoi
12146,Ageneiosus marmoratus
53698,Ageneiosus militaris
53704,Ageneiosus pardalis
48604,Ageneiosus polystictus
48607,Ageneiosus ucayalensis
65400,Ageneiosus uranophthalmus
48610,Ageneiosus vittatus
51816,Agoniates anchovia
51817,Agoniates halecinus
23989,Agonomalus jordani
4150,Agonomalus mozinoi
